


2022-06-15 16:58:14 [USER] [SYSTEM] Core Program Start
2022-06-15 16:58:19 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW



2022-06-15 16:59:26 [USER] [SYSTEM] Core Program Start
2022-06-15 16:59:27 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW



2022-06-15 17:00:02 [USER] [SYSTEM] Core Program Start
2022-06-15 17:00:02 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW



2022-06-15 17:02:11 [USER] [SYSTEM] Core Program Start
2022-06-15 17:02:12 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-06-15 17:02:34 [USER] [SYSTEM] TERMINATE CORE PROGRAM CLICKED



2022-06-15 17:02:46 [USER] [SYSTEM] Core Program Start
2022-06-15 17:02:46 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW



2022-06-15 17:05:19 [USER] [SYSTEM] Core Program Start
2022-06-15 17:05:19 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW



2022-06-15 17:22:51 [USER] [SYSTEM] Core Program Start
2022-06-15 17:22:51 [USER] [BARCODE] UNKNOWN BARCODE READ : 
2022-06-15 17:22:51 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-06-15 17:22:53 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-15 17:22:54 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-15 17:22:54 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-15 17:22:56 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-15 17:22:56 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-15 17:22:56 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-15 17:22:58 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-15 17:22:58 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-15 17:22:58 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-15 17:23:00 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
