


2022-06-23 17:05:54 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:55 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:55 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:57 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:57 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:57 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:59 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:59 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:59 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:01 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:02 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:02 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:03 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:04 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:04 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:06 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:06 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:06 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:08 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:08 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:08 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:10 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:11 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:11 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:12 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:13 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:13 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:15 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:15 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:15 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:17 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:17 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:17 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:19 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:20 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:20 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:21 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:22 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:22 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:24 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:24 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:24 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:26 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:26 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:26 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:28 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:28 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:28 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:30 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:31 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:31 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:32 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:33 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:33 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:35 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:35 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:35 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:37 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:37 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:37 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:39 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:40 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:40 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:41 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:42 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:42 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:44 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:44 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:44 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:46 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:46 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:46 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:48 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:49 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:49 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:50 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:51 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:51 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:53 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:53 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:53 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:55 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:55 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:55 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:57 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:58 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:58 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:59 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:07:00 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:07:00 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:07:02 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:07:02 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:07:02 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:07:04 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:07:04 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:07:04 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:07:06 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:07:06 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:07:06 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:07:08 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:07:09 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:07:09 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:07:10 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:07:11 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:07:11 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:07:13 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:07:13 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:07:13 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:07:15 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:07:15 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:07:15 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:07:17 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:07:18 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:07:18 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:07:19 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:07:20 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:07:20 [USER] [ICE] SERIAL ttyS7 OPEN FAIL



2022-06-23 17:08:11 [USER] [SYSTEM] Core Program Start
2022-06-23 17:08:11 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-06-23 17:08:13 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:08:13 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:08:13 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:08:15 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:08:15 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:08:15 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:08:17 [USER] [SYSTEM] TERMINATE CORE PROGRAM CLICKED



2022-06-23 17:09:53 [USER] [SYSTEM] Core Program Start
2022-06-23 17:09:53 [USER] [BARCODE] UNKNOWN BARCODE READ : 
2022-06-23 17:09:53 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-06-23 17:09:55 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:09:55 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:09:55 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:09:57 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:09:57 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:09:57 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:09:59 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:09:59 [USER] [UI OPERATION - MONITOR] 현황판 강제 적용 시작
2022-06-23 17:10:00 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
