


2022-08-18 14:19:30 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:19:30 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:19:30 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:19:32 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:19:32 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:19:32 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:19:34 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:19:34 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:19:34 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:19:36 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:19:36 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:19:36 [BARCODE] SERIAL ttyS4 OPEN FAIL



2022-08-18 14:22:15 [SYSTEM] Core Program Start
2022-08-18 14:22:16 [ROBOT] ERROR : DISCONNECTED
2022-08-18 14:22:16 [ICE] ERROR : DISCONNECTED 1
2022-08-18 14:22:16 [ICE] ERROR : DISCONNECTED 2
2022-08-18 14:22:16 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 14:22:18 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:22:18 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:22:18 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:22:20 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:22:20 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:22:20 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:22:22 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:22:22 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:22:22 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:22:24 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:22:24 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:22:24 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:22:27 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:22:27 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:22:27 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:22:29 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:22:29 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:22:29 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:22:31 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:22:31 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:22:31 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:22:32 [USER INPUT] UI : UNLOCK
2022-08-18 14:22:33 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:22:33 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:22:33 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:22:36 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:22:36 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:22:36 [ICE] SERIAL ttyS7 OPEN FAIL
