2022-12-08 08:35:31 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:35:35 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:35:35 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:35:40 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:35:40 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:35:45 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:35:45 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:35:50 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:35:50 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:35:55 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:35:55 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:35:59 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:00 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:36:04 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:05 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:36:09 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:09 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:36:14 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:14 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:36:19 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:19 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:36:24 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:24 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:36:28 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:29 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:36:33 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:34 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:36:38 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:39 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:36:44 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:44 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:36:48 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:49 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:36:53 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:53 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:36:58 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:36:58 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:37:03 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:37:03 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:37:07 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:37:08 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:37:13 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:37:13 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:37:18 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:37:18 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:37:23 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:37:23 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:37:28 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:37:28 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:37:36 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:37:36 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:37:41 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:37:41 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:37:46 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:37:46 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:37:51 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:37:51 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:37:55 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:37:56 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:38:00 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:38:01 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
2022-12-08 08:38:05 [OUTLET] GoPosition  : target(0) spin_door(1) position(0)
2022-12-08 08:38:05 [OUTLET] GoPosition  : target(0) spin_door(1) position(-143000)
