


2023-09-01 09:13:20 [SYSTEM] Core Program Start
2023-09-01 09:13:20 [ROBOT] ERROR : DISCONNECTED
2023-09-01 09:13:20 [ICE] ERROR : DISCONNECTED 1
2023-09-01 09:13:20 [ICE] ERROR : DISCONNECTED 2
2023-09-01 09:13:20 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2023-09-01 09:13:22 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 09:13:22 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 09:13:22 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 09:13:22 [USER INPUT] EXIT : TERMINATE PROGRAM



2023-09-01 09:13:26 [SYSTEM] Core Program Start
2023-09-01 09:13:26 [ROBOT] ERROR : DISCONNECTED
2023-09-01 09:13:26 [ICE] ERROR : DISCONNECTED 1
2023-09-01 09:13:26 [ICE] ERROR : DISCONNECTED 2
2023-09-01 09:13:26 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2023-09-01 09:13:28 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 09:13:28 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 09:13:28 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 09:13:29 [USER INPUT] EXIT : TERMINATE PROGRAM



2023-09-01 10:11:03 [SYSTEM] Core Program Start
2023-09-01 10:11:03 [ROBOT] ERROR : DISCONNECTED
2023-09-01 10:11:03 [ICE] ERROR : DISCONNECTED 1
2023-09-01 10:11:03 [ICE] ERROR : DISCONNECTED 2
2023-09-01 10:11:03 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2023-09-01 10:11:05 [USER INPUT] UI : UNLOCK
2023-09-01 10:11:05 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:05 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:05 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:07 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:07 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:07 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:10 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:10 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:10 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:12 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:12 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:12 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:14 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:14 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:14 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:16 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:16 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:16 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:18 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:18 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:18 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:21 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:21 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:21 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:23 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:23 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:23 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:25 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:25 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:25 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:27 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:27 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:27 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:29 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:29 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:29 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:32 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:32 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:32 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:34 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:34 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:34 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:36 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:36 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:36 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:38 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:38 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:38 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:40 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:40 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:40 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:43 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:43 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:43 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:45 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:45 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:45 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:47 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:47 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:47 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:49 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:49 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:49 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:51 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:51 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:51 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:54 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:54 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:54 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:56 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:56 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:56 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:11:58 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:11:58 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:11:58 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:12:00 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:12:00 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:12:00 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:12:02 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:12:02 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:12:02 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:12:05 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:12:05 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:12:05 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:12:07 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:12:07 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:12:07 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:12:09 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:12:09 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:12:09 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:12:11 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:12:11 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:12:11 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:12:13 [ICE] SERIAL COM3 OPEN FAIL
2023-09-01 10:12:13 [ICE] SERIAL COM4 OPEN FAIL
2023-09-01 10:12:13 [BARCODE] SERIAL COM1 OPEN FAIL
2023-09-01 10:12:14 [KIOSK] Disconnected 
